operation,name,alias,area,kmlPath,description,city,street,zipCode,latitude,longitude,info,countryId,regionId,subRegionId
CREATE,"ГО ""МРК ""Компас""",kompas,4479.6,batch/grounds/zhytomyr/29-go-mrk-kompas.kml,,,,,,,,1,5,
CREATE,"ГО ""Мисливський клуб ""Блазер""",blazer,3267,batch/grounds/zhytomyr/30-go-mislivskij-klub-blazer.kml,,,,,,,,1,5,
CREATE,"ГО ""Мисливсько-рибальський клуб ""Рись-Верби""",rys-verby,3011.1,batch/grounds/zhytomyr/31-go-mislivsko-ribalskij-klub-ris-verbi.kml,,,,,,,,1,5,
CREATE,"ГО МРК ""Артеміда""",artemida,,batch/grounds/zhytomyr/32-go-mrk-artemida.kml,,,,,,,,1,5,
CREATE,"ТОВ ""Житниця""",zhytnytcya,3165.2,batch/grounds/zhytomyr/33-tov-zhitnicya.kml,,,,,,,,1,5,
CREATE,"ТОВ ""Мисливський клуб ""Хантер""",hanter,5143.7,batch/grounds/zhytomyr/34-tov-mislivskij-klub-hanter.kml,,,,,,,,1,5,
CREATE,"ТОВ МРК ""Війсьових ветеранів""",viyskovykh-veteraniv,3581.8,batch/grounds/zhytomyr/35-tov-mrk-vijsovih-veteraniv.kml,,,,,,,,1,5,
CREATE,"ТОВ ""Квінта плюс компані""",kvinta-plyus-kompani,3668.5,batch/grounds/zhytomyr/36-tov-kvinta-plyus-kompani.kml,,,,,,,,1,5,
CREATE,"Житомирський обласний мисливсько-рибальський клуб ""Фауна""",fauna,3059.3,batch/grounds/zhytomyr/37-zhitomirskij-oblasnij-mislivsko-ribalskij-klub-fauna.kml,,,,,,,,1,5,
CREATE,"Житомирська обласна громадська організація ""Захист""",zahyst,3152.8,batch/grounds/zhytomyr/38-zhitomirska-oblasna-gromadska-organizaciya-zahist.kml,,,,,,,,1,5,
CREATE,"ДП ""Овруцьке спеціалізоване лісове господарство""",ovrutske,5125,batch/grounds/zhytomyr/39-dp-ovrucke-specializovane-lisove-gospodarstvo.kml,,,,,,,,1,5,
CREATE,"ДП ""Ємельчинське лісове господарство""",yemelchynske,36922,batch/grounds/zhytomyr/40-dp-yemelchinske-lisove-gospodarstvo.kml,,,,,,,,1,5,
CREATE,"ДП ""Житомирський військовий лісгосп""",zhytomyrskyy-viyskovyy-lishosp,1607.8,batch/grounds/zhytomyr/41-dp-zhitomirskij-vijskovij-lisgosp.kml,,,,,,,,1,5,
CREATE,"ДП ""Овруцьке лісове господарство""",ovrutske-lisove-hospodarstvo,5668,batch/grounds/zhytomyr/42-dp-ovrucke-lisove-gospodarstvo.kml,,,,,,,,1,5,
CREATE,"ГО ""Радомишльські мисливці""",radomishlski-mislivci,4906.7,batch/grounds/zhytomyr/43-go-radomishlski-mislivci.kml,,,,,,,,1,5,
CREATE,"ДП ""Бердичівське лісове господарство""",berdichivske-lisove-gospodarstvo,3924,batch/grounds/zhytomyr/44-dp-berdichivske-lisove-gospodarstvo.kml,,,,,,,,1,5,
CREATE,"Малинська районна громадська організація ""Товариство мисливців та рибалок""",malinska-rajonna-gromadska-organizaciya-tovaristvo-mislivciv-ta-ribalok,3661.21,batch/grounds/zhytomyr/45-malinska-rajonna-gromadska-organizaciya-tovaristvo-mislivciv-ta-ribalok.kml,,,,,,,,1,5,
